Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
663296d669a5872195662459,63fc7ac4c0ba10b71a25a63d,AWAITING REVIEW,Not Applicable,2024-05-01T19:24:35.786000Z,2024-05-01T19:59:42.965000Z,,2024-05-01T20:01:03.486929Z,2108,CPK51IOW,516,English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66329754c89ade67073a406b,5eebc1fd5feed239a73d693d,AWAITING REVIEW,Not Applicable,2024-05-01T19:26:22.125000Z,2024-05-01T19:54:03.079000Z,,2024-05-01T19:54:03.727900Z,1661,CPK51IOW,561,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
663297e4fc46059d2f1b2e87,648ddf3aeff70c1f26ff2652,AWAITING REVIEW,Not Applicable,2024-05-01T19:28:53.423000Z,2024-05-01T20:23:30.924000Z,,2024-05-01T20:23:31.957275Z,3278,CPK51IOW,181,"English, Hindi",36,Male,Asian,India,Canada,India,Hindi,Yes,Full-Time
663297e899317e36f2a83fa3,5b09da13641b1200010eab05,AWAITING REVIEW,Not Applicable,2024-05-01T19:28:40.576000Z,2024-05-01T20:16:39.722000Z,,2024-05-01T20:16:44.403778Z,2880,CPK51IOW,598,English,26,Male,Asian,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
6632982f6e400f914e3021e6,60089c477baa6b3fba6dbe80,AWAITING REVIEW,Not Applicable,2024-05-01T19:36:37.344000Z,2024-05-01T20:24:13.494000Z,,2024-05-01T20:24:14.798828Z,2857,CPK51IOW,313,English,37,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6632984eea600cf193cc86f7,5c791e24266f210012af518d,AWAITING REVIEW,Not Applicable,2024-05-01T19:30:28.202000Z,2024-05-01T19:46:24.425000Z,,2024-05-01T19:46:28.393431Z,957,CPK51IOW,650,"Dutch, English, Polish",23,Female,White,Poland,Netherlands,Poland,Polish,No,DATA_EXPIRED
6632987acacfc3f0baf7bf0f,6089aa8120d7418a70f3eba7,AWAITING REVIEW,Not Applicable,2024-05-01T19:31:19.523000Z,2024-05-01T19:55:10.240000Z,,2024-05-01T19:55:10.764358Z,1431,CPK51IOW,326,"Portuguese, English",26,Male,White,Portugal,Norway,Portugal,Portuguese,Yes,Part-Time
663298a98c96c7aeec6d05b6,5e58436ebdccf5057ddd9190,AWAITING REVIEW,Not Applicable,2024-05-01T19:31:58.122000Z,2024-05-01T20:07:49.616000Z,,2024-05-01T20:07:50.113225Z,2152,CPK51IOW,914,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
663298aa9931bbf489d7b5c9,656cbb93ba4ac7120453d910,AWAITING REVIEW,Not Applicable,2024-05-01T19:32:46.932000Z,2024-05-01T20:13:43.733000Z,,2024-05-01T20:13:45.125161Z,2457,CPK51IOW,124,"English, Dutch, German",28,Male,Mixed,Germany,Netherlands,Germany,English,Yes,Part-Time
663298b162f251a71d7c09ab,5a631a73b9e3b50001a6ebd8,AWAITING REVIEW,Not Applicable,2024-05-01T19:32:09.763000Z,2024-05-01T19:51:13.892000Z,,2024-05-01T19:51:49.139647Z,1145,CPK51IOW,1727,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time